approved	datestart	dateend	label	name	cancelled	cancellation_description	shortname	hashtag	homepage	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Logo	Edition’s Topic	Stream	Twitter	Mastodon	Github
yes	20200605	20200607	PyCon CZ	PyCon CZ				PyConCZ	https://cz.pycon.org/2020/	Ostrava	CZ	Hlubina	https://www.openstreetmap.org/#map=18/49.82144/18.27744	49.82144	18.27744	https://cz.pycon.org/2020/coc/	6th PyCon CZ is organized by volunteers from Czech Python community for anyone interested in Python: professionals, novices, students and hobbyist Python programmers from Czechia and abroad. Everyone gets a chance to learn, receive support, and connect with others in a friendly atmosphere.	20200331	https://cz.pycon.org/2020/cfp/	Project Conference	Python,PyConCZ,Czechia	500CZK - 3900CZK	yes	470	EN					/data/eventlogos/2020/2020-pyconcz-logo.svg					
yes	20200602	20200604	Xen Developer & Design Summit	Xen Developer & Design Summit					https://events.linuxfoundation.org/xen-summit/	Bucharest	RO	PRECIS Center	https://www.openstreetmap.org/way/452377556	44435	26.04775	https://events.linuxfoundation.org/xen-summit/attend/code-of-conduct/	The Xen Project Developer and Design Summit brings together the Xen Project’s community of developers and power users for their annual developer conference. The conference is about sharing ideas and the latest developments, sharing experience, planning, collaboration and above all to have fun and to meet the community that defines the Xen Project.	20200306	https://events.linuxfoundation.org/xen-summit/program/cfp/	Project Conference	Xen	200$	https://events.linuxfoundation.org/xen-summit/register/	?	EN	Linux Foundation				/data/eventlogos/2020/2020-XenDDS_logo.svg					
yes	20200604	20200606	WordCamp Europe	WordCamp Europe 2020			Wordcamp	wceu20	https://2020.europe.wordcamp.org/	Porto	PT	Palácio de Cristal – Arena	https://www.openstreetmap.org/way/35341148	41.14682	-8.62589	https://2020.europe.wordcamp.org/code-of-conduct/	WordCamp Europe is the largest WordPress event in the world bringing all local communities together. 	20200106	https://2020.europe.wordcamp.org/2019/10/23/call-for-speakers/#more-5	Project Conference	Wordpress	~50€	https://2020.europe.wordcamp.org/tickets/	3000	EN										
yes	20200606	20200607	DrupalCamp Kyiv	DrupalCamp Kyiv 2020					https://drupalcampkyiv.org/en	Kiev	UA	Mercure Kyiv Congress Hal	https://www.openstreetmap.org/#map=18/50.45002/30.44298	50.45002	30.44298	nococ	We are gathering as much drupalists as we can in Ukraine and from neighbour countries to have fun and learn something new.			Project Conference	Drupal	~50€	yes	400	EN										
yes	20200606	20200607	Linuxwochen Linz	Linuxwochen Linz 2020					https://www.linuxwochen-linz.at/2020/home/	Linz	AT	Hackerspace /dev/lol	https://www.openstreetmap.org/?mlat=48.30578371882439&mlon=14.283830523490906#map=18/48.30578/14.28383	48.30578	14.28383	nada	Auch 2020 laden die Linuxwochen Linz wieder alle Technikinteressierten und Freunde der Open Source/Open Hardware/Open Data Welt ein. Ein Teil der Vorträge werden in Form eines Barcamps organisiert. Die Teilnahme am Barcamp kann vorab bzw. auch während der Veranstaltung bekannt gegeben werden.			Community Conference	Linux	Zero	no	50	DE		Barcamp			/data/eventlogos/2020/2020-linuxwochen-linz-logo.svg			https://twitter.com/LinuxwochenLinz		
yes	20200612	20200614	Chaos Singularity	Chaos Singularity 2020			CoSin	CoSin	https://www.cosin.ch/	Biel/Bienne	CH	Villa Ritter	https://www.openstreetmap.org/?mlat=47.14426%2C7.24994&mlon=7.24994&zoom=17#map=16/47.14420/7.2516	47.1442	7.2516	nococ	CoSin is short for Chaos Singularity. We are not quite sure what that means, but we do know, what we want with it: We hope to provide a chance for geeks, nerds, hackers, discordians, chaots and other interested or curious people, to meet, learn, chat, have fun and relax. During three days, we'd like to offer the opportunity to investigate technology, think about its effects on society, or just chat with other participants in a relaxed atmosphere.	20200531	https://www.cosin.ch/en/cfp/	Community Conference		?	no	?	DE/EN	no									
yes	20200622	20200623	European GNU Radio Days	European GNU Radio Days 2020					https://gnuradio-eu-20.sciencesconf.org/	Poitier	FR	Faculté des Sciences Département	https://www.openstreetmap.org/#map=14/46.6594/0.3441	46.6594	0.3441	nococ	It is our pleasure to announce the third meeting centered around the GNU Radio framework held in France (Poitiers).  This workshop targets French and European GNU Radio users and developers as a complement to the american GRCon, and welcomes participants from all countries and continents enjoying developing with GNU Radio. Contributions are sought in English as oral presentation/demo/tutorial. Last year's abstracts have been gathere in the book of abstracts of the 2019 edition of the European GNU Radio Days conference.	20200401	https://gnuradio-eu-20.sciencesconf.org/registration	Community Conference	GNU,radio	Zero	"participating to the conference is free of charge, but <a href=""https://gnuradio-eu-20.sciencesconf.org/registration"">registration</a> is mandatory before May 1st to help organize the meeting"	?	EN										
yes	20200625	20200628	Hack in the woods	Hack in the woods					http://www.hackinthewoods.be/	Tournai	BE	Domaine de Graux	https://www.openstreetmap.org/search?query=belgium#map=18/50.60679/3.51178	50.60679	3.51178	nococ	More than a hackathon, the Hack in the Woods is the first festival for developers in Europe! During 4 days, come and code for a better world for renowned NGO's, attend technical conferences, network or even spend an unforgettable moment with your colleagues. Do you want to live a unique coding experience in the great outdoors? It's this way!			Hackathon		50,00 €		?	EN		code for projects from humanitarian and environmental partner organizations as open source								
yes	20200713	20200718	FOSS4G Europe	FOSS4G Europe					https://2020.europe.foss4g.org/	Valmiera	LV	Vidzeme University of Applied Sciences	https://www.openstreetmap.org/way/139430450	57.54175	25.42821	https://2020.europe.foss4g.org/code-of-conduct/	<p>Beside the annual global FOSS4G there are local FOSS4Gs taking place all over the world. FOSS4G Europe is only one of these regional conferences and wants to gather and connect enthusiast from Europe. It is an annual event, but does not take place every 3 years when the global FOSS4G conference comes to Europe.</p><p>The conference aims to bring FOSS4G users and developers together and to foster closer interactions within the European geospatial communities.</p><p>FOSS4G Europe 2020 is the first Open Source Geospatial event in North-Eeast Europe after successful editions in Bremen Germany (2014), Como Italy (2015), Paris France (2017) and Guimarães Portugal (2018) </p><p>Don’t miss FOSS4G Europe 2020 in Valmiera (Latvia) and join the FOSS4G community!</p>	20200401	https://2020.europe.foss4g.org/call-for-contributions-1/	Community Conference	OpenStreetmap	150	https://fienta.com/foss4g-europe-2020/cart#title	?	EN	?	Community Sprint								
yes	20200618	20200621	DrupalCamping	DrupalCamping am Allersee			DrupalCamping	DrupalCamping	https://groups.drupal.org/node/535334	Wolfsburg	DE	Allersee	https://www.openstreetmap.org/way/131652496	52.43204	10.81483					Project Conference,Camping	Drupal		yes	?	DE								https://twitter.com/drupalcamping		
